City_ID,City,Lat,Lon,Temp,Humidity,Cloudiness,Windspeed,Country
369,Marsá Maţrūḩ,31.3525,27.2453,53.6,82,0,4.61,EG
370,Massakory,12.996,15.7293,77.52,16,0,12.71,TD
371,Najrān,17.4924,44.1277,64.4,36,0,4.23,SA
372,Alta Floresta,-9.8756,-56.0861,73.22,97,77,1.23,BR
373,Araouane,18.9048,-3.5265,67.86,21,0,5.64,ML
374,Pontes e Lacerda,-15.2261,-59.3353,79.7,85,67,3.29,BR
375,Burns Lake,54.2331,-125.7533,21.2,86,100,1.14,CA
376,Sioux Lookout,50.1001,-91.917,10.4,56,40,2.3,CA
377,Palmas,-10.2128,-48.3603,78.8,78,40,5.75,BR
379,Vila Velha,-20.3297,-40.2925,78.8,78,40,5.75,BR
380,Asău,46.4333,26.4,41.0,70,90,16.11,RO
381,Hambantota,6.1241,81.1185,77.09,84,41,2.39,LK
382,Topolobampo,25.6,-109.05,80.49,34,90,16.11,MX
383,Antofagasta,-23.65,-70.4,71.6,73,20,13.8,CL
384,Zhuhai,22.2769,113.5678,65.34,82,40,9.22,CN
385,Saint-Augustin,51.226,-58.6502,22.32,95,93,16.06,CA
386,Emba,48.8264,58.1442,35.02,98,100,15.3,KZ
387,Lompoc,34.6391,-120.4579,61.79,42,20,14.97,US
388,Gravdal,68.1214,13.5031,41.72,84,88,20.47,NO
389,Ayagoz,47.9714,80.4392,0.95,90,99,5.46,KZ
390,Sibanicú,21.235,-77.5264,84.2,54,20,23.02,CU
391,Kaka,37.3482,59.6143,38.3,29,0,6.8,TM
392,Kajiado,-1.8524,36.7768,62.6,63,0,11.9,KE
393,Kununurra,-15.7667,128.7333,75.2,62,0,3.44,AU
394,Coquimbo,-29.9533,-71.3436,64.4,77,75,13.8,CL
395,Thompson,55.7435,-97.8558,-4.0,38,75,8.05,CA
396,Bonthe,7.5264,-12.505,79.0,83,0,7.76,SL
397,Harper,4.375,-7.7169,78.39,88,71,6.02,LR
398,Tuatapere,-46.1333,167.6833,60.01,94,87,3.0,NZ
399,Svetlaya,46.5389,138.3297,25.34,67,100,13.87,RU
400,Camacha,33.0833,-16.3333,59.0,77,40,13.8,PT
401,Poltavka,54.3663,71.7632,-6.07,90,100,12.57,RU
402,Kismayo,-0.3582,42.5454,77.34,88,0,12.93,SO
403,Karpathos,35.507,27.2132,57.2,77,10,13.8,GR
404,Yakeshi,49.2833,120.7333,-8.66,89,64,5.97,CN
405,Nyagan,62.1406,65.3936,-17.39,88,0,4.41,RU
406,Caucayá,-0.1934,-74.7819,80.73,91,93,2.91,CO
407,Dunedin,-45.8742,170.5036,59.11,93,98,1.99,NZ
408,Kangaba,11.9333,-8.4167,78.67,16,2,3.94,ML
409,Mgachi,51.05,142.2667,20.32,96,100,7.38,RU
410,Safi,32.2994,-9.2372,57.7,79,100,15.03,MA
411,Tessalit,20.1986,1.0114,61.84,10,0,2.68,ML
412,Constitución,-35.3333,-72.4167,67.73,58,4,17.25,CL
413,Avallon,47.4833,3.9,39.0,72,0,3.0,FR
